step,residual,mass
1,1.0000000000000000e+00,1.9135527082221860e-07
2,4.7665946706245982e-01,1.6691685324651696e-05
3,2.8084232264144970e-01,2.8897469004723504e-05
4,1.7898241841885806e-01,3.2224714991582272e-05
5,1.2152103182568851e-01,2.9660998800807622e-05
6,8.7954133323614681e-02,2.4367247718503115e-05
7,6.8006806307551682e-02,1.8396053979261644e-05
8,5.5884444963690785e-02,1.2823074534913783e-05
9,4.8200288312531370e-02,8.0882910709483018e-06
10,4.2993996868173200e-02,4.2772192785638912e-06
11,3.9167976432156082e-02,1.3083024613458306e-06
12,3.6132036019952928e-02,-9.5826881777462313e-07
13,3.3580265593201500e-02,-2.6656915221702177e-06
14,3.1357473894032130e-02,-3.9379691984082763e-06
15,2.9383877702068135e-02,-4.8742780734638510e-06
16,2.7615250177397382e-02,-5.5508848830236322e-06
17,2.6023249943628049e-02,-6.0255442878479524e-06
18,2.4586481879940648e-02,-6.3420046140293798e-06
19,2.3286851199292441e-02,-6.5337406487696521e-06
20,2.2108292318391790e-02,-6.6267524003195321e-06
21,2.1036423195428318e-02,-6.6415565397829084e-06
22,2.0058473665984844e-02,-6.5945707353359093e-06
23,1.9163237014135245e-02,-6.4990746309164903e-06
24,1.8340976019637596e-02,-6.3658877208754931e-06
25,1.7583285350377741e-02,-6.2038611883201270e-06
26,1.6882931446397572e-02,-6.0202470006242648e-06
27,1.6233690005942169e-02,-5.8209841035639286e-06
28,1.5630194391806233e-02,-5.6109264414769105e-06
29,1.5067801627372694e-02,-5.3940282654897848e-06
30,1.4542477913183301e-02,-5.1734966945231409e-06
31,1.4050702815050940e-02,-4.9519182749990347e-06
32,1.3589389955630509e-02,-4.7313643872277187e-06
33,1.3155821638960381e-02,-4.5134791833314479e-06
34,1.2747594930028954e-02,-4.2995529866839222e-06
35,1.2362577022721062e-02,-4.0905835484064338e-06
36,1.1998868100664339e-02,-3.8873271535526989e-06
37,1.1654770247046677e-02,-3.6903412433747327e-06
38,1.1328761259585901e-02,-3.5000199516291109e-06
39,1.1019472469084371e-02,-3.3166237253636720e-06
40,1.0725669849639583e-02,-3.1403040087540626e-06
41,1.0446237854890170e-02,-2.9711238066080273e-06
42,1.0180165527132735e-02,-2.8090748083837114e-06
43,9.9265345129226894e-03,-2.6540916387527434e-06
44,9.6845086863117189e-03,-2.5060637072082144e-06
45,9.4533251340228660e-03,-2.3648450496371772e-06
46,9.2322862991682589e-03,-2.2302624891090718e-06
47,9.0207531141512642e-03,-2.1021223901072080e-06
48,8.8181389810429896e-03,-1.9802162340630221e-06
49,8.6239044803478205e-03,-1.8643252081146174e-06
50,8.4375527077130714e-03,-1.7542239665082327e-06
51,8.2586251535696695e-03,-1.6496836997458543e-06
52,8.0866980535249135e-03,-1.5504746239460729e-06
53,7.9213791480336297e-03,-1.4563679849356411e-06
54,7.7623047988473670e-03,-1.3671376575388556e-06
55,7.6091374172662140e-03,-1.2825614060895621e-06
56,7.4615631655698712e-03,-1.2024218635636142e-06
57,7.3192898983580898e-03,-1.1265072762241127e-06
58,7.1820453150754594e-03,-1.0546120539195813e-06
59,7.0495752988524963e-03,-9.8653715990545091e-07
60,6.9216424200810780e-03,-9.2209036843247155e-07
61,6.7980245859489688e-03,-8.6108641364928151e-07
62,6.6785138195623100e-03,-8.0334705054945089e-07
63,6.5629151543502512e-03,-7.4870104400733965e-07
64,6.4510456312190274e-03,-6.9698410077126551e-07
65,6.3427333874576455e-03,-6.4803875579385607e-07
66,6.2378168277228948e-03,-6.0171422293510767e-07
67,6.1361438685771097e-03,-5.5786621855374424e-07
68,6.0375712490533806e-03,-5.1635676419794071e-07
69,5.9419639005873961e-03,-4.7705397535303472e-07
70,5.8491943704165076e-03,-4.3983183949965811e-07
71,5.7591422932040870e-03,-4.0456998835671759e-07
72,5.6716939062315293e-03,-3.7115346753681641e-07
73,5.5867416040047257e-03,-3.3947250539037916e-07
74,5.5041835285706362e-03,-3.0942228410761628e-07
75,5.4239231922339048e-03,-2.8090271402868719e-07
76,5.3458691297089463e-03,-2.5381821299172656e-07
77,5.2699345770501642e-03,-2.2807749121755996e-07
78,5.1960371749748954e-03,-2.0359334315238336e-07
79,5.1240986944338226e-03,-1.8028244603115123e-07
80,5.0540447824975257e-03,-1.5806516660666310e-07
81,4.9858047268172114e-03,-1.3686537484455239e-07
82,4.9193112370877114e-03,-1.1661026662129276e-07
83,4.8545002420909795e-03,-9.7230193234998865e-08
84,4.7913107010335264e-03,-7.8658499984425065e-08
85,4.7296844280110282e-03,-6.0831371638924410e-08
86,4.6695659285429670e-03,-4.3687686170111764e-08
87,4.6109022472145579e-03,-2.7168875884901567e-08
88,4.5536428255521554e-03,-1.1218795534426996e-08
89,4.4977393693359548e-03,4.2164022043118406e-09
90,4.4431457246231071e-03,1.9188384543871097e-08
91,4.3898177618192620e-03,3.3746750209739086e-08
92,4.3377132671937480e-03,4.7939134339395037e-08
93,4.2867918412834273e-03,6.1811308027520129e-08
94,4.2370148036793660e-03,7.5407271598605766e-08
95,4.1883451037317571e-03,8.8769342991324602e-08
96,4.1407472367468723e-03,1.0193824072089172e-07
97,4.0941871652844788e-03,1.1495316235028023e-07
98,4.0486322451971559e-03,1.2785185775544162e-07
99,4.0040511560795206e-03,1.4067069875358512e-07
100,3.9604138358244039e-03,1.5344474417346052e-07
101,3.9176914190032653e-03,1.6620780125725285e-07
102,3.8758561788146493e-03,1.7899248341081069e-07
103,3.8348814723593999e-03,1.9183026438067338e-07
104,3.7947416890233552e-03,2.0475152931996041e-07
105,3.7554122017625668e-03,2.1778562293239086e-07
106,3.7168693211036032e-03,2.3096089448625227e-07
107,3.6790902516819486e-03,2.4430474057480262e-07
108,3.6420530511581750e-03,2.5784364474102304e-07
109,3.6057365913613644e-03,2.7160321552239633e-07
110,3.5701205215189959e-03,2.8560822159378903e-07
111,3.5351852334454120e-03,2.9988262530075832e-07
112,3.5009118285674497e-03,3.1444961395001933e-07
113,3.4672820866750048e-03,3.2933162974195701e-07
114,3.4342784362935705e-03,3.4455039729793665e-07
115,3.4018839265798307e-03,3.6012695036127859e-07
116,3.3700822006515240e-03,3.7608165661079418e-07
117,3.3388574702659149e-03,3.9243424097426593e-07
118,3.3081944917691107e-03,4.0920380796589123e-07
119,3.2780785432418484e-03,4.2640886265982725e-07
120,3.2484954027738413e-03,4.4406733046125913e-07
121,3.2194313278016097e-03,4.6219657619172582e-07
122,3.1908730354509550e-03,4.8081342144848118e-07
123,3.1628076838261564e-03,4.9993416184995024e-07
124,3.1352228541951304e-03,5.1957458298814841e-07
125,3.1081065340201339e-03,5.3974997558675043e-07
126,3.0814471007869866e-03,5.6047514996108300e-07
127,3.0552333065921732e-03,5.8176445008852340e-07
128,3.0294542634438297e-03,6.0363176619079096e-07
