step,residual,mass
1,1.0000000000000000e+00,-2.4808347560082174e-08
2,4.6782160795419497e-01,-1.8452911014883359e-07
3,2.6648639990236650e-01,-2.0486466355601903e-07
4,1.6548321727183277e-01,-1.3344459154850125e-07
5,1.1263205217786310e-01,-5.1422665542447462e-08
6,8.4282576491461980e-02,7.4589056635419274e-09
7,6.8408019197561343e-02,3.9497930376363246e-08
8,5.8685065318236682e-02,5.2146707591352670e-08
9,5.1959404124624950e-02,5.3884329463079341e-08
10,4.6766652205590765e-02,5.0771409940563126e-08
11,4.2468780944169136e-02,4.6181967769157640e-08
12,3.8792480967147748e-02,4.1599907302312824e-08
13,3.5608242062599722e-02,3.7477268658056149e-08
14,3.2837222227380544e-02,3.3828988611144404e-08
15,3.0417977713152623e-02,3.0552071115009784e-08
16,2.8297322532801129e-02,2.7556356381100395e-08
17,2.6428944001580083e-02,2.4795300170379381e-08
18,2.4773471918589345e-02,2.2256520148982175e-08
19,2.3298205970040398e-02,1.9943636959233409e-08
20,2.1976357161288654e-02,1.7862048704465748e-08
21,2.0786065501247696e-02,1.6011341600337821e-08
22,1.9709430474792875e-02,1.4383037997506569e-08
23,1.8731677026336782e-02,1.2961497053004381e-08
24,1.7840490379560078e-02,1.1726160272726214e-08
25,1.7025505703819593e-02,1.0654003807634407e-08
26,1.6277921976935381e-02,9.7216275208457634e-09
27,1.5590208939411272e-02,8.9067827534122385e-09
28,1.4955881784509002e-02,8.1893427138926041e-09
29,1.4369324936824480e-02,7.5518072196485076e-09
30,1.3825651864318802e-02,6.9794585401466830e-09
31,1.3320591914630716e-02,6.4602776889453015e-09
32,1.2850397893081834e-02,5.9847124195520496e-09
33,1.2411769886575540e-02,5.5453662210796775e-09
34,1.2001792014329805e-02,5.1366585406976520e-09
35,1.1617879584312315e-02,4.7544900959730083e-09
36,1.1257734698080188e-02,4.3959340603635984e-09
37,1.0919308761572766e-02,4.0589646929059449e-09
38,1.0600770674279770e-02,3.7422280725123528e-09
39,1.0300479713057930e-02,3.4448551055425908e-09
40,1.0016962317889897e-02,3.1663139543435432e-09
41,9.7488921374893258e-03,2.9062978498821937e-09
42,9.4950728119115972e-03,2.6646431511277720e-09
43,9.2544230641477369e-03,2.4412728824198265e-09
44,9.0259637483895393e-03,2.2361608076795048e-09
45,8.8088065634259177e-03,2.0493119952286928e-09
46,8.6021441886733607e-03,1.8807560504207591e-09
47,8.4052416401531830e-03,1.7305499591760466e-09
